"# of Items","Nombre d'articles"
"%s label(s) have been generated and statuses have been changed.","%s étiquettes ont été générées et les statuts mis à jour."
"%s orders already had downloaded labels.","les étiquettes ont déjà été téléchargées pour les commandes %s."
"Passphrase","Passphrase"
"Pending bpost orders","Commande bpost en attende."
"Pick-up point","Point de livraison"
"Please remove or disable the old bpost extension prior to the installation of the new one.","Merci de supprimer ou de désactiver l'ancienne extension bpost avant de procéder à l'installation de la nouvelle version."
"Please select a bpost parcel locker","Sélectionnez un distributeur de paquets bpost"
"Please select a bpost pick-up point","Sélectionnez un point d'enlèvement bpost"
"Please select a delivery date","Choisissez le jour de livraison"
"Please select a postcode or city first.","Précisez d'abord le code postal ou la ville."
"Please wait. Loading bpost map based on your address","Veuillez patienter. Chargement de la carte bpost en fonction de votre adresse"
"Product","Produit"
"Purchased From (Store)","Acheté à partir(magasin)"
"Purchased On","Acheté le"
"Rate type","Type de tarif"
"Rates","Tarifs"
"Region/State","Région/Ville"
"Saturday delivery cost","Livraison le samedi"
"Saturday delivery","Livraison le samedi"
"Saturday","Samedi"
"Select All","Tout sélectionner"
"Select one or more countries where bpost Home delivery international should be available for. Make sure your bpost shipping manager is configured properly. Otherwise no countries will be shown in this list after saving the 'Shipping Settings' configuration.","Sélectionnez un ou plusieurs pays où la livraison bpost internationale doit être disponible. Soyez sur que le bpost shipping manager est correctement configuré."
"Select Visible","Sélection visible"
"Select which product to use for international shipments","Choisissez le produit à utiliser pour les envois internationaux."
"Select your preferred delivery date","Choisissez le jour de livraison"
"Select","Sélectionner"
"send additional SMS notification","notification additionel par SMS"
"Send Email","Envoyer par mail"
"Sender boxnumber","Numéro de boite de l'expéditeur"
"Sender city","Ville de l'expéditeur"
"Sender company","Société de l'expéditeur"
"Sender country","Pays de l'expéditeur"
"Sender email","Email de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Sender phonenumber","Téléphone de l'expéditeur"
"Sender postal code","Code postal de l'expéditeur"
"Sender streetname","Rue de l'expéditeur"
"Sender streetnumber","Numéro de rue de l'expéditeur"
"September","Septembre"
"Ship to Name","Livré à"
"Shipment","Livraison"
"Shipped with bpost generateLabelAndComplete","Livré avec bpost generateLabelAndComplete"
"Shipping Price","Coût de livraison"
"Signature","Signature"
"Some of the selected orders are not ready to be shipped or have already been shipped","Certaines commandes ne sont pas prêtes à être expédiées"
"Something went wrong while processing order #%s","Une erreur s'est produite pendant le traitement de la commande #%s"
"Sorry","Désolé"
"Status","Status"
"Submit","Envoyer"
"Successfully authenticated with bpost.","Authentifié avec succès."
"Successfully exported order(s). Download the file here: %s","Commande exportée avec succès. Télécharger le fichier ici: %s"
"Sunday","Dimanche"
"Table rates condition","Table rates condition"
"Table Rates","Table Rates"
"The Bpost shipping method ","La méthode de livraison bpost "
"The delivery happens against signature by the receiver. The parcel is delivered on Saturday if it is timely dropped in the bpost network.","La livraison s'effectue contre signature du destinataire. Le paquet est livré le samedi s'il est déposé à temps dans le réseau bpost."
"The delivery happens against signature by the receiver.","La livraison s'effectue contre signature du destinataire."
"The email with return label has been sent to %s.","L'email avec l'étiquette retour a été envoyé par mail à %s."
"The file(s) could not be downloaded","Le fichier ne peut pas être téléchargé"
"The following delivery methods are currently supported:","Les méthodes de livraison suivantes sont supportées:"
"The order with id %s is not ready to be shipped or has already been shipped.","La commande avec id %s n'est pas prête à être livrée ou a déjà été livrée."
"The order with id %s only has non-bpost shipments.","La commande avec id %s a une livraison non-bpost."
"The parcel is delivered on Saturday if it is timely dropped in the bpost network.","Le paquet est livré le samedi s'il est déposé à temps dans le réseau bpost."
"The passphrase you entered in bpost Shipping Manager back-office application. This is not the password used to access bpost portal.","La passphrase que vous devez spécifier dans l'application bpost Shipping Manager back-office. Cela ne correspond pas au mot de passe utilisé pour accéder le portal bpost."
"The requested file does not exist","Le fichier demandé n'existe pas"
"This means that orders are automatically added to the bpost portal.","Cela signifie que les commandes sont automatiquement ajoutées au portal bpost."
"This options provides automatically a second presentation at the receiver's address should he be absent upon first presentation.","Si le destinataire est absent lors de la première livraison du paquet, celui-ci sera représenté automatiquement le lendemain."
"Thursday","Jeudi"
"Track this shipment","Suivre votre envoi"
"Tuesday","Mardi"
"Type in a location"," Préciser le lieu"
"Unselect All","Tout désélectionner"
"Unselect Visible","Désélectionner visible"
"Upload your table rates configuration here. Refer to the manual for more information.","Uploader ici votre configuration des tables rates. Visitez la documentation pour plus d'informations."
"Use Magento to manage labels","Utiliser Magento pour gérer vos étiquettes"
"Used in the webservice calls.","Utilisé dans les appels webservice."
"Used to calculate the weight before sending it to bpost","Utilisé pour calculer le poids avant de l'envoyer à bpost"
"via E-mail","via E-mail"
"via SMS","via SMS"
"View","Vue"
"Wednesday","Mercredi"
"When activated and correctly installed","Lorsqu'il est activé et correctement installé"
"World Business","World Business"
"World Express Pro","World Express Pro"
"You can use flat rate or calculated table rates.","Vous pouvez utiliser les ""flat rate"" ou ""table rate""."
"You need a user account from bpost to use this module. Call %s for more information.","Vous avez besoin d'un compte bpost pour utiliser ce module. Appelez %s pour plus d'informations."
"Your 6 digits bpost account ID used for the Shipping Manager.<br/><a target='_blank' href='http://bpost.freshdesk.com/solution/articles/4000061189'>http://bpost.freshdesk.com/solution/articles/4000061189</a>","Votre compte bpost (6 chiffres) utilisé pour le Shipping Manager..<br/><a target='_blank' href='http://bpost.freshdesk.com/solution/articles/4000061189'>http://bpost.freshdesk.com/solution/articles/4000061189</a>"
"Your label has been generated and statuses have been changed.","Votre étiquette a été générée et les statuts ont été mis à jour."
"Your return has been generated and is available under -bpost Return labels- in this order.","Votre étiquette retour a été générée et est disponible sous -bpost étiquette Retour-."
"Your selected order is not ready to be shipped or has already been shipped","Votre commande n'est pas prête à être expédiée ou a déjà été livrée"
"Zip/Postal Code","Code postal"
"I don't want my parcel to be delivered on a Saturday","Je ne veux pas être livré un samedi"
"By using this option, customers with reduced mobility can use the lockers of the machine easiest to reach.","En utilisant la zone à mobilité réduite, les clients peuvent accèder au distributeur de paquets les plus accessibles."
"This order did not (yet) generate labels which automatically returned return label barcodes. This feature might not be actived. Please refer to the documentation and your Shipping Settings under 'System > Configuration > Sales' for more information.","Pour cette commande, il n'y a pas (encore) d' étiquettes avec des étiquettes de retour automatiques. Il est possible que cette fonctionalité n'est pas activée. Veuillez consulter la documentation et votre configuration d'envoi sous 'System > Configuration > Sales' pour plus d'informations."
"The Bpost shipping method ""%s"" is not available because your postal code is not correct. For your country the format should be like ""%s"". Please correct the postal code in your shipping address.","La méthode de livraison ""%s"" de bpost n'est pas disponible parce que votre code postal n'est pas correct. Pour le pays de destination que vous avez choisi, le format doit être comme ""%s"". Veuillez corriger le code postal dans votre adresse d'envoi."
"Your address could not be determined, please return to the shipping address step to correct it.","Votre adresse n'existe pas, veuillez corriger votre adresse de livraison."
"bpost Click & Collect","bpost Click & Collect"
"You would like to deliver your parcel in your own stores?","Vous désirez livrer vos paquets dans vos propres magasins?"
"Click & Collect is the most convenient option for you.","La livraison "Click & Collect" est faite pour vous!"
"Please find more information on %s.","Vous trouverez plus d'informations sur %s."
"The delivery method Click & Collect is not activated by default on your contract.","La méthode de livraison \"Click & Collect\" n'est pas activée par défaut dans votre contrat."
"Please request an activation of the service in order to use it on your website.","Veuillez demander son activation afin de pouvoir l'utiliser sur votre siteweb."
"Fixed fee for bpost Click & Collect shipments, e.g.: 4.95.","Tarif fixe pour les envois Click&Collect, ex: 4,95."
"Click here to choose a bpost Click & Collect point.","Cliquez ici pour choisir votre point de livraison Click & Collect."
"Click here to change the bpost Click & Collect point.","Cliquez ici pour changer de point de livraison Click & Collect."
"No Click & Collect location order data found.","Les données de ce point de livraison Click & Collect n'ont pas été trouvées."
"Bpost Click & Collect is currently unavailable. If you would like to ship using this shipping method, please contact the web merchant.","bpost Click & Collect n'est pas encore disponible. Si vous désirez utiliser cette méthode de livraison, merci de contacter le marchand du webshop."
"Please select a bpost Click & Collect point","Veuillez sélectionner un point de livraison Click & Collect"
"Upload a custom map marker","Ajouter un marqueur de carte personnalisée"
"Please note that the Click & Collect points are updated once a day.","Veuillez noter que les points de livraisons Click & Collect sont mis à jour de manière journalière."
"If you have added or removed Click & Collect points in Shipping Manager, be aware that it will take up to 24h to be operational in the bpost Magento plugin.","Dès lors, si vous avez ajouté ou supprimé des points Click & Collect dans votre Shipping Manager, cela prendra jusqu’à 24h afin d’être opérationnel dans le plugin bpost de Magento."
"If the points don’t appear after 24h, make sure to have cleared the Magento cache.","Si les points n’apparaissent pas après 24h, assurez-vous d’avoir vidé le cache de Magento."
"Before using this delivery method, make sure that Click & Collect is duely activated. This is a 2 step process. Find out how here.","Afin de pouvoir utiliser cette méthode de livraison, assurez-vous qu’elle soit correctement activée. Veuillez suivre les étapes d'activation via ce lien."
"Additional fee when using saturday delivery option, e.g.: 4.95.<br />Dear customer, if you decide to offer your own consumers the option of Saturday delivery, you need to select 'Display delivery date' in the general parameters of the plugin and enter the requested information.","Coût additionel pour une livraison le samedi, e.g.: 4.95.<br />Cher client, si vous choisissez de proposer à votre consommateur le samedi comme option de livraison, vous devez également sélectionner 'Afficher la date de livraison' dans les paramètres du plugin."
